date,France,Italy,US,Vietnam
1/26/20,3,0,5,2
1/27/20,3,0,5,2
1/28/20,4,0,5,2
1/29/20,5,0,6,2
1/30/20,5,0,6,2
1/31/20,5,2,8,2
2/1/20,6,2,8,6
2/2/20,6,2,8,6
2/3/20,6,2,11,8
2/4/20,6,2,11,8
2/5/20,6,2,11,8
2/6/20,6,2,12,10
2/7/20,6,3,12,10
2/8/20,11,3,12,13
2/9/20,11,3,12,13
2/10/20,11,3,12,14
2/11/20,11,3,13,15
2/12/20,11,3,13,15
2/13/20,11,3,14,16
2/14/20,11,3,14,16
2/15/20,12,3,14,16
2/16/20,12,3,14,16
2/17/20,12,3,14,16
2/18/20,12,3,14,16
2/19/20,12,3,14,16
2/20/20,12,3,14,16
2/21/20,12,20,16,16
2/22/20,12,62,16,16
2/23/20,12,155,16,16
2/24/20,12,229,16,16
2/25/20,14,322,16,16
2/26/20,18,453,16,16
2/27/20,38,655,17,16
2/28/20,57,888,17,16
2/29/20,100,1128,25,16
3/1/20,130,1694,32,16
3/2/20,191,2036,55,16
3/3/20,212,2502,74,16
3/4/20,285,3089,107,16
3/5/20,423,3858,184,16
3/6/20,613,4636,237,16
3/7/20,938,5883,403,18
3/8/20,1115,7375,519,30
3/9/20,1401,9172,594,30
3/10/20,1773,10149,782,31
3/11/20,2281,12462,1147,38
3/12/20,2281,15113,1586,39
3/13/20,3661,17660,2219,47
3/14/20,4469,21157,2978,53
3/15/20,4499,24747,3212,56
3/16/20,6633,27980,4679,61
3/17/20,7652,31506,6512,66
3/18/20,9043,35713,9169,75
3/19/20,10871,41035,13663,85
3/20/20,12612,47021,20030,91
3/21/20,14282,53578,26025,94
3/22/20,16533,59138,34944,113
3/23/20,19856,63927,46096,123
3/24/20,22054,69176,56714,134
3/25/20,24967,74386,68841,141
3/26/20,28856,80589,86662,153
3/27/20,32609,86498,105253,163
3/28/20,37162,92472,127417,174
3/29/20,39761,97689,143544,188
3/30/20,44029,101739,165698,203
3/31/20,51579,105792,192079,212
4/1/20,56362,110574,223255,218
4/2/20,58404,115242,255531,233
4/3/20,63588,119827,287932,237
4/4/20,46483,124632,319777,240
4/5/20,47299,128948,349017,241
4/6/20,49934,132547,380799,245
4/7/20,46400,135586,410835,249
4/8/20,50242,139422,441898,251
4/9/20,54003,143626,477508,255
4/10/20,55538,147577,511791,257
4/11/20,56972,152271,540715,258
4/12/20,107712,156363,567023,262
4/13/20,110836,159516,594166,265
4/14/20,128272,162488,622494,266
4/15/20,131476,165155,648391,267
4/16/20,144035,168941,678029,268
4/17/20,145896,172434,711136,268
4/18/20,149683,175925,738465,268
4/19/20,150752,178972,763887,268
4/20/20,153197,181228,793971,268
4/21/20,155821,183957,820046,268
4/22/20,157603,187327,849927,268
4/23/20,155881,189973,881892,268
4/24/20,158653,192994,913857,270
4/25/20,160295,195351,944771,270
4/26/20,160907,197675,970742,270
4/27/20,164592,199414,995392,270
4/28/20,167650,201505,1019965,270
4/29/20,166193,203591,1046817,270
4/30/20,167326,205463,1076519,270
5/1/20,167846,207428,1111411,270
5/2/20,168637,209328,1138175,270
5/3/20,168887,210717,1161908,271
5/4/20,169405,211938,1185710,271
5/5/20,170467,213013,1209729,271
5/6/20,174596,214457,1234211,271
5/7/20,175218,215858,1261950,288
5/8/20,175743,217185,1289133,288
5/9/20,176132,218268,1313587,288
5/10/20,176338,219070,1332333,288
5/11/20,176651,219814,1351410,288
5/12/20,177330,221216,1374792,288
5/13/20,177790,222104,1394807,288
5/14/20,178353,223096,1420697,312
5/15/20,178837,223885,1445548,314
5/16/20,179140,224760,1469598,318
5/17/20,179250,225435,1488327,320
5/18/20,179650,225886,1510635,324
5/19/20,180143,226699,1531138,324
5/20/20,180499,227364,1553964,324
5/21/20,180752,228006,1579116,324
5/22/20,181444,228658,1602944,324
5/23/20,181969,229327,1623133,325
5/24/20,181410,229858,1643307,325
5/25/20,181684,230158,1662401,326
5/26/20,181880,230555,1681127,327
5/27/20,182018,231139,1699890,327
5/28/20,185300,231732,1721157,327
5/29/20,185842,232248,1746239,328
5/30/20,187608,232664,1769319,328
5/31/20,187817,232997,1788238,328
6/1/20,187986,233197,1806078,328
6/2/20,187265,233515,1826168,328
6/3/20,184015,233836,1845324,328
6/4/20,188286,234013,1873258,328
6/5/20,188808,234531,1899697,328
6/6/20,189330,234801,1919966,329
6/7/20,189621,234998,1937792,331
6/8/20,189782,235278,1954691,332
6/9/20,190266,235561,1975012,332
6/10/20,190743,235763,1996730,332
6/11/20,191040,236142,2019008,332
6/12/20,191679,236305,2044566,333
6/13/20,192043,236651,2068723,334
6/14/20,192317,236989,2087624,334
6/15/20,192369,237290,2108623,334
6/16/20,192915,237500,2133172,334
6/17/20,193256,237828,2160222,335
6/18/20,193576,238159,2188449,342
6/19/20,194121,238011,2219503,349
6/20/20,194535,238275,2251329,349
6/21/20,194599,238499,2277165,349
6/22/20,194693,238720,2306966,349
6/23/20,195256,238833,2345695,349
6/24/20,195256,239410,2381946,352
6/25/20,195256,239706,2421245,352
6/26/20,196267,239961,2470292,353
6/27/20,196521,240136,2511046,355
6/28/20,196111,240310,2553971,355
6/29/20,196390,240436,2595267,355
6/30/20,196554,240578,2645090,355
7/1/20,197238,240760,2694213,355
7/2/20,197591,240961,2749156,355
7/3/20,197994,241184,2800661,355
7/4/20,197994,241419,2846606,355
7/5/20,197994,241611,2900334,355
7/6/20,198850,241819,2943499,369
7/7/20,199170,241956,3000729,369
7/8/20,199699,242149,3061035,369
7/9/20,200027,242363,3120691,369
7/10/20,200569,242639,3189550,370
7/11/20,200569,242827,3249989,370
7/12/20,200569,243061,3310121,372
7/13/20,201755,243230,3369485,373
7/14/20,201755,243344,3435147,373
7/15/20,202383,243506,3501173,381
7/16/20,202819,243736,3571987,381
7/17/20,203516,243967,3638459,382
7/18/20,203516,244216,3702781,382
7/19/20,203516,244434,3761713,383
7/20/20,205308,244624,3822376,384
7/21/20,205773,244752,3890570,401
7/22/20,206641,245032,3958115,408
7/23/20,207650,245338,4026001,412
7/24/20,208553,245590,4101148,415
7/25/20,208553,245864,4165348,417
7/26/20,208553,246118,4221187,420
7/27/20,210821,246286,4280911,431
7/28/20,211337,246488,4345741,446
7/29/20,212676,246776,4409869,459
7/30/20,213927,247158,4479110,509
7/31/20,215135,247537,4543686,558
8/1/20,215135,247832,4601264,590
8/2/20,215135,248070,4648373,621
8/3/20,218351,248229,4690057,652
8/4/20,219253,248419,4751714,672
8/5/20,220874,248803,4806062,717
8/6/20,222398,249204,4866242,750
8/7/20,224602,249756,4926829,789
8/8/20,224602,250103,4990762,812
8/9/20,224602,250566,5045029,841
8/10/20,229203,250825,5096646,847
8/11/20,230540,251237,5153601,866
