code,name,freq,listed_in,amount,type_i
KOR,"South Korea",133,"International TV Shows",86,"TV Show"
KOR,"South Korea",133,"Korean TV Shows",87,"TV Show"
KOR,"South Korea",133,"Romantic TV Shows",46,"TV Show"
IND,India,748,Comedies,215,Movie
IND,India,748,Dramas,482,Movie
IND,India,748,"International Movies",647,Movie
BEL,Belgium,59,Dramas,29,Movie
SEN,Senegal,2,Dramas,1,Movie
FRA,France,227,Dramas,105,Movie
BEL,Belgium,59,"Independent Movies",11,Movie
SEN,Senegal,2,"Independent Movies",1,Movie
FRA,France,227,"Independent Movies",45,Movie
BEL,Belgium,59,"International Movies",43,Movie
SEN,Senegal,2,"International Movies",1,Movie
FRA,France,227,"International Movies",135,Movie
NGA,Nigeria,26,Comedies,11,Movie
NGA,Nigeria,26,"International Movies",25,Movie
NGA,Nigeria,26,Thrillers,6,Movie
ZAF,"South Africa",25,Dramas,9,Movie
ZAF,"South Africa",25,"International Movies",11,Movie
NGA,Nigeria,26,"Independent Movies",3,Movie
USA,"United States",2054,"Reality TV",42,"TV Show"
NGA,Nigeria,26,"Action & Adventure",2,Movie
NGA,Nigeria,26,Dramas,18,Movie
USA,"United States",2054,Docuseries,94,"TV Show"
USA,"United States",2054,"Children & Family Movies",226,Movie
USA,"United States",2054,Dramas,467,Movie
JPN,Japan,161,"Anime Series",61,"TV Show"
JPN,Japan,161,"International TV Shows",73,"TV Show"
BRA,Brazil,56,"International TV Shows",11,"TV Show"
BRA,Brazil,56,"Stand-Up Comedy & Talk Shows",1,"TV Show"
BRA,Brazil,56,"TV Comedies",4,Movie
USA,"United States",2054,"TV Comedies",80,Movie
FRA,France,227,"International TV Shows",24,"TV Show"
FRA,France,227,"TV Comedies",8,Movie
FRA,France,227,"TV Dramas",15,Movie
CAN,Canada,228,Dramas,50,Movie
DEU,Germany,122,Dramas,50,Movie
USA,"United States",2054,Thrillers,179,Movie
CAN,Canada,228,Thrillers,28,Movie
DEU,Germany,122,Thrillers,14,Movie
USA,"United States",2054,"Action & Adventure",207,Movie
IND,India,748,"Romantic Movies",76,Movie
NOR,Norway,17,Dramas,8,Movie
NOR,Norway,17,"Independent Movies",2,Movie
CAN,Canada,228,"Independent Movies",29,Movie
USA,"United States",2054,"Stand-Up Comedy",179,Movie
MEX,Mexico,107,"International TV Shows",25,"TV Show"
MEX,Mexico,107,"Spanish-Language TV Shows",26,"TV Show"
MEX,Mexico,107,"Stand-Up Comedy & Talk Shows",1,"TV Show"
USA,"United States",2054,"Crime TV Shows",52,"TV Show"
USA,"United States",2054,"TV Dramas",72,Movie
USA,"United States",2054,"TV Mysteries",16,"TV Show"
IND,India,748,"Action & Adventure",112,Movie
USA,"United States",2054,Comedies,384,Movie
KOR,"South Korea",133,"Crime TV Shows",16,"TV Show"
USA,"United States",2054,"Classic Movies",52,Movie
CHN,China,111,"International TV Shows",27,"TV Show"
CHN,China,111,"TV Comedies",9,Movie
CHN,China,111,"TV Sci-Fi & Fantasy",2,"TV Show"
ARE,"United Arab Emirates",19,"Action & Adventure",3,Movie
ARE,"United Arab Emirates",19,"Sci-Fi & Fantasy",2,Movie
USA,"United States",2054,"Sci-Fi & Fantasy",108,Movie
USA,"United States",2054,"Anime Series",7,"TV Show"
JPN,Japan,161,"Kids' TV",14,"TV Show"
USA,"United States",2054,"Kids' TV",68,"TV Show"
JPN,Japan,161,"Action & Adventure",34,Movie
JPN,Japan,161,"Anime Features",40,Movie
JPN,Japan,161,"International Movies",42,Movie
BRA,Brazil,56,"TV Dramas",6,Movie
USA,"United States",2054,Documentaries,391,Movie
USA,"United States",2054,"Sports Movies",77,Movie
USA,"United States",2054,"International TV Shows",36,"TV Show"
SGP,Singapore,25,"International TV Shows",9,"TV Show"
SGP,Singapore,25,"Reality TV",1,"TV Show"
CAN,Canada,228,"Action & Adventure",26,Movie
DEU,Germany,122,"Action & Adventure",17,Movie
GBR,"United Kingdom",471,"Action & Adventure",47,Movie
GBR,"United Kingdom",471,Dramas,107,Movie
FRA,France,227,"Crime TV Shows",15,"TV Show"
USA,"United States",2054,"Romantic Movies",121,Movie
AUS,Australia,97,Dramas,29,Movie
AUS,Australia,97,"Independent Movies",7,Movie
AUS,Australia,97,"International Movies",25,Movie
USA,"United States",2054,"Cult Movies",25,Movie
USA,"United States",2054,"Independent Movies",267,Movie
USA,"United States",2054,"Horror Movies",115,Movie
DEU,Germany,122,"International TV Shows",13,"TV Show"
DEU,Germany,122,"TV Dramas",7,Movie
MEX,Mexico,107,Documentaries,10,Movie
MEX,Mexico,107,"International Movies",45,Movie
MEX,Mexico,107,"Sports Movies",3,Movie
GBR,"United Kingdom",471,Comedies,52,Movie
DEU,Germany,122,Comedies,24,Movie
GBR,"United Kingdom",471,"International Movies",118,Movie
DEU,Germany,122,"International Movies",60,Movie
GBR,"United Kingdom",471,"Romantic Movies",20,Movie
DEU,Germany,122,"Romantic Movies",5,Movie
IND,India,748,"Independent Movies",109,Movie
ITA,Italy,55,"Action & Adventure",1,Movie
ITA,Italy,55,"Classic Movies",2,Movie
USA,"United States",2054,"International Movies",103,Movie
ITA,Italy,55,"International Movies",36,Movie
