,year_added,rating,total_amount
0,2019,TV-14,360
1,2019,TV-PG,148
2,2019,TV-MA,372
3,2019,TV-Y7-FV,30
4,2019,TV-Y7,33
5,2019,TV-G,30
6,2019,TV-Y,31
7,2019,R,2
8,2018,TV-14,230
9,2018,TV-MA,206
10,2018,TV-PG,103
11,2018,TV-Y7,22
12,2018,TV-G,18
13,2018,TV-Y,20
14,2018,TV-Y7-FV,25
15,2018,NR,8
16,2018,Unknown,2
17,2017,TV-Y,15
18,2017,TV-MA,80
19,2017,TV-PG,67
20,2017,TV-14,157
21,2017,TV-Y7-FV,22
22,2017,TV-Y7,13
23,2017,NR,6
24,2017,TV-G,12
25,2016,TV-14,68
26,2016,TV-MA,26
27,2016,TV-PG,27
28,2016,R,1
29,2016,Unknown,1
30,2016,TV-Y7,5
31,2016,TV-Y,4
32,2016,TV-Y7-FV,20
33,2016,TV-G,6
34,2015,TV-14,2
35,2015,TV-G,4
36,2015,TV-Y7,1
37,2015,TV-PG,6
38,2015,TV-MA,4
39,2015,TV-Y7-FV,1
40,2013,NR,1
41,2013,TV-PG,1
42,2013,TV-MA,1
