code,name,freq,listed_in,amount
KOR,"South Korea",133,"International TV Shows",86
KOR,"South Korea",133,"Korean TV Shows",87
KOR,"South Korea",133,"Romantic TV Shows",46
IND,India,748,Comedies,215
IND,India,748,Dramas,482
IND,India,748,"International Movies",647
BEL,Belgium,59,Dramas,29
SEN,Senegal,2,Dramas,1
FRA,France,227,Dramas,105
BEL,Belgium,59,"Independent Movies",11
SEN,Senegal,2,"Independent Movies",1
FRA,France,227,"Independent Movies",45
BEL,Belgium,59,"International Movies",43
SEN,Senegal,2,"International Movies",1
FRA,France,227,"International Movies",135
NGA,Nigeria,26,Comedies,11
NGA,Nigeria,26,"International Movies",25
NGA,Nigeria,26,Thrillers,6
ZAF,"South Africa",25,Dramas,9
ZAF,"South Africa",25,"International Movies",11
NGA,Nigeria,26,"Independent Movies",3
USA,"United States",2054,"Reality TV",42
NGA,Nigeria,26,"Action & Adventure",2
NGA,Nigeria,26,Dramas,18
USA,"United States",2054,Docuseries,94
USA,"United States",2054,"Children & Family Movies",226
USA,"United States",2054,Dramas,467
JPN,Japan,161,"Anime Series",61
JPN,Japan,161,"International TV Shows",73
BRA,Brazil,56,"International TV Shows",11
BRA,Brazil,56,"Stand-Up Comedy & Talk Shows",1
BRA,Brazil,56,"TV Comedies",4
USA,"United States",2054,"TV Comedies",80
FRA,France,227,"International TV Shows",24
FRA,France,227,"TV Comedies",8
FRA,France,227,"TV Dramas",15
CAN,Canada,228,Dramas,50
DEU,Germany,122,Dramas,50
USA,"United States",2054,Thrillers,179
CAN,Canada,228,Thrillers,28
DEU,Germany,122,Thrillers,14
USA,"United States",2054,"Action & Adventure",207
IND,India,748,"Romantic Movies",76
NOR,Norway,17,Dramas,8
NOR,Norway,17,"Independent Movies",2
CAN,Canada,228,"Independent Movies",29
USA,"United States",2054,"Stand-Up Comedy",179
MEX,Mexico,107,"International TV Shows",25
MEX,Mexico,107,"Spanish-Language TV Shows",26
MEX,Mexico,107,"Stand-Up Comedy & Talk Shows",1
USA,"United States",2054,"Crime TV Shows",52
USA,"United States",2054,"TV Dramas",72
USA,"United States",2054,"TV Mysteries",16
IND,India,748,"Action & Adventure",112
USA,"United States",2054,Comedies,384
KOR,"South Korea",133,"Crime TV Shows",16
USA,"United States",2054,"Classic Movies",52
